@RELATION DepthMaps 
@ATTRIBUTE shape_context3D0 numeric
@ATTRIBUTE shape_context3D1 numeric
@ATTRIBUTE shape_context3D2 numeric
@ATTRIBUTE shape_context3D3 numeric
@ATTRIBUTE shape_context3D4 numeric
@ATTRIBUTE shape_context3D5 numeric
@ATTRIBUTE shape_context3D6 numeric
@ATTRIBUTE shape_context3D7 numeric
@ATTRIBUTE shape_context3D8 numeric
@ATTRIBUTE shape_context3D9 numeric
@ATTRIBUTE shape_context3D10 numeric
@ATTRIBUTE shape_context3D11 numeric
@ATTRIBUTE shape_context3D12 numeric
@ATTRIBUTE shape_context3D13 numeric
@ATTRIBUTE shape_context3D14 numeric
@ATTRIBUTE shape_context3D15 numeric
@ATTRIBUTE shape_context3D16 numeric
@ATTRIBUTE shape_context3D17 numeric
@ATTRIBUTE shape_context3D18 numeric
@ATTRIBUTE shape_context3D19 numeric
@ATTRIBUTE class { A B C D E  } 

 @DATA 
0.000000,-0.060811,0.120905,-0.147031,-0.015906,0.006954,0.021690,-0.063955,-0.046586,0.036253,-0.007462,-0.029108,0.014252,-0.030068,0.000651,0.002397,-0.100463,-0.059139,-0.047773,-0.009520,C
0.000000,-0.061031,0.127872,-0.107182,-0.014295,0.011149,0.031007,-0.053738,-0.042821,0.039385,-0.005261,-0.016286,0.007224,-0.037855,-0.007628,-0.002799,-0.100845,-0.059141,-0.047727,-0.009498,C
0.000000,-0.120330,0.090457,-0.054599,-0.036660,0.010252,0.019674,-0.059188,-0.074655,0.045131,-0.056117,-0.029691,0.014374,-0.019006,-0.002749,0.001408,-0.100370,-0.059714,-0.047772,-0.009459,C
0.000000,-0.073546,0.137889,-0.105097,0.006782,0.045792,-0.022688,-0.047346,-0.064896,0.025153,-0.026915,-0.014169,-0.016370,-0.004784,0.001692,-0.003455,-0.100147,-0.059446,-0.047939,-0.009451,C
0.000000,-0.084215,0.104551,-0.077171,-0.026323,0.035133,-0.008578,-0.059656,-0.048920,0.046086,-0.040311,-0.022090,-0.009622,-0.016493,-0.003534,0.001288,-0.099895,-0.059482,-0.047732,-0.009366,C
0.000000,-0.121975,0.023701,0.107604,0.059862,0.083261,-0.021172,-0.095777,-0.113159,0.047341,-0.005040,0.006776,-0.018275,-0.004415,-0.005319,0.010605,-0.100239,-0.059346,-0.047800,-0.009389,C
0.000000,-0.099983,0.107316,-0.074765,-0.042113,0.022395,0.008679,-0.036934,-0.034466,0.059609,-0.051888,-0.008604,0.004668,-0.007777,-0.011520,-0.001116,-0.099942,-0.059775,-0.047710,-0.009347,C
0.000000,-0.183146,-0.025093,0.083287,0.076367,-0.036292,0.027554,-0.047817,-0.051071,0.019295,-0.036903,-0.023217,0.012405,-0.023106,-0.000779,0.001384,-0.100282,-0.059450,-0.047921,-0.009405,A
0.000000,0.013960,-0.068282,0.012431,-0.196641,0.055437,0.049302,0.007595,-0.005500,0.005115,0.016315,-0.010471,0.016244,-0.003534,0.004269,0.010243,-0.099589,-0.059362,-0.047977,-0.009314,C
0.000000,0.071046,0.165620,0.111663,0.038417,0.091734,-0.001778,-0.053799,-0.042336,0.044512,-0.004200,-0.020731,-0.021487,-0.027156,-0.007729,0.007633,-0.100392,-0.059366,-0.047788,-0.009189,C
0.000000,0.129536,0.265807,0.134829,0.022824,0.020276,0.014238,0.014437,-0.043283,0.035673,-0.019309,-0.013008,0.000600,-0.026775,-0.010727,0.004411,-0.099391,-0.059844,-0.047568,-0.009449,C
0.000000,0.121829,0.215939,0.097920,0.017309,0.037809,0.011884,-0.016251,-0.055390,0.023797,-0.014345,-0.005287,-0.015165,-0.030195,-0.005801,-0.005126,-0.099406,-0.059533,-0.048053,-0.009814,C
0.000000,0.063176,0.236150,0.107954,-0.054264,0.056850,-0.054371,-0.026558,-0.056566,-0.010248,-0.067058,-0.021129,0.027160,-0.002758,-0.018833,-0.000541,-0.100100,-0.058043,-0.047846,-0.009372,C
0.000000,0.124793,0.246198,0.134303,0.039924,0.026511,0.031840,0.016351,-0.027118,0.057304,-0.012570,-0.031720,0.006644,-0.011498,-0.007946,0.005482,-0.100731,-0.059744,-0.047872,-0.009223,C
0.000000,0.048660,0.287016,0.018009,-0.030426,0.019994,-0.046586,-0.051126,-0.052112,0.011975,0.000320,-0.004941,-0.030239,-0.019469,0.002114,0.004201,-0.100424,-0.059372,-0.047931,-0.009319,C
