@RELATION DepthMaps 
@ATTRIBUTE shape_context0 numeric
@ATTRIBUTE shape_context1 numeric
@ATTRIBUTE shape_context2 numeric
@ATTRIBUTE shape_context3 numeric
@ATTRIBUTE shape_context4 numeric
@ATTRIBUTE shape_context5 numeric
@ATTRIBUTE shape_context6 numeric
@ATTRIBUTE shape_context7 numeric
@ATTRIBUTE shape_context8 numeric
@ATTRIBUTE shape_context9 numeric
@ATTRIBUTE shape_context10 numeric
@ATTRIBUTE shape_context11 numeric
@ATTRIBUTE shape_context12 numeric
@ATTRIBUTE shape_context13 numeric
@ATTRIBUTE shape_context14 numeric
@ATTRIBUTE shape_context15 numeric
@ATTRIBUTE shape_context16 numeric
@ATTRIBUTE shape_context17 numeric
@ATTRIBUTE shape_context18 numeric
@ATTRIBUTE shape_context19 numeric
@ATTRIBUTE point_cloud0 numeric
@ATTRIBUTE point_cloud1 numeric
@ATTRIBUTE point_cloud2 numeric
@ATTRIBUTE point_cloud3 numeric
@ATTRIBUTE point_cloud4 numeric
@ATTRIBUTE point_cloud5 numeric
@ATTRIBUTE point_cloud6 numeric
@ATTRIBUTE point_cloud7 numeric
@ATTRIBUTE point_cloud8 numeric
@ATTRIBUTE point_cloud9 numeric
@ATTRIBUTE point_cloud10 numeric
@ATTRIBUTE point_cloud11 numeric
@ATTRIBUTE point_cloud12 numeric
@ATTRIBUTE point_cloud13 numeric
@ATTRIBUTE point_cloud14 numeric
@ATTRIBUTE class { A B C D E  } 

 @DATA 
0.382982,-0.047621,-0.138494,0.120123,0.204179,-0.175721,0.167841,0.073441,0.012917,0.196172,-0.008990,-0.073174,-0.034078,0.001123,0.059372,-0.072838,-0.058354,-0.028972,-0.037740,0.066984,210.184661,437.220720,81.500599,41.097849,32.571247,56.552359,-0.996464,0.004119,0.083915,0.083954,0.087118,0.992654,0.444843,0.804438,0.393694,B
0.375689,-0.026220,-0.109121,0.097012,0.182738,-0.195817,0.170210,0.086115,0.004170,0.130250,-0.019966,-0.085229,-0.045562,0.004156,0.054264,-0.048745,-0.061043,-0.023415,-0.037560,0.069216,206.128474,432.029590,75.819013,41.660710,28.202484,54.677589,0.999861,0.013821,-0.009309,-0.013742,0.999870,0.008471,0.458447,0.790701,0.405733,B
0.423188,-0.142396,0.075311,0.178385,0.059041,-0.147590,0.186528,0.132111,-0.041594,0.163456,-0.026760,-0.063436,-0.037599,0.024793,0.049175,-0.061955,-0.068135,-0.006176,-0.026829,0.063701,200.191468,432.442027,76.519093,42.968251,26.325177,51.409417,-0.987338,0.154502,0.035962,-0.154791,-0.987933,-0.005373,0.458447,0.790701,0.405733,B
0.457018,-0.150699,0.047596,0.167872,0.105367,-0.169851,0.197274,0.129492,-0.002562,0.153916,0.011292,-0.042788,-0.061707,0.021101,0.051327,-0.079197,-0.069248,-0.034785,-0.045969,0.062556,197.789326,435.011782,71.976982,41.061379,26.396269,49.295822,0.972764,-0.040956,0.228152,-0.226324,0.044850,0.973019,0.452880,0.790512,0.412300,B
0.459940,-0.170670,0.071895,0.189769,0.074791,-0.160994,0.203568,0.107210,-0.008933,0.147994,-0.001805,-0.076889,-0.047766,0.004880,0.056999,-0.077837,-0.056730,-0.027908,-0.025085,0.068861,200.252135,428.275871,71.715013,39.820890,26.072455,50.451582,-0.987072,-0.094094,-0.129753,0.131757,-0.015378,-0.991163,0.452880,0.790512,0.412300,B
0.494871,-0.178201,0.063024,0.138580,0.121351,-0.220441,0.188852,0.077111,-0.024135,0.152887,-0.024604,-0.076389,-0.050307,-0.024663,0.055897,-0.028784,-0.057976,-0.017959,-0.018285,0.069979,209.465746,423.346987,79.111693,39.066507,28.288426,56.174735,0.969696,-0.242865,0.026582,-0.242846,-0.970057,-0.003996,0.467843,0.780824,0.414049,B
0.444316,-0.121899,0.078401,0.182314,0.096433,-0.166329,0.217082,0.084729,-0.016788,0.168419,-0.036072,-0.086525,-0.052592,-0.024386,0.060615,-0.059629,-0.049011,-0.014644,-0.031692,0.060620,203.369412,349.670452,74.332725,42.677005,25.220924,52.888412,0.978848,0.018110,-0.203785,-0.023153,0.999481,-0.022391,0.518752,0.721192,0.459105,B
0.417694,-0.130797,0.092092,0.184858,0.085873,-0.159571,0.209346,0.125697,-0.024380,0.141394,-0.014260,-0.059556,-0.066054,0.007914,0.072640,-0.072212,-0.046168,-0.012747,-0.056381,0.070524,197.190577,434.215413,75.004456,45.391801,26.303509,52.180744,-0.996230,0.004629,-0.086624,0.086671,0.011042,-0.996176,0.458447,0.790701,0.405733,B
0.476350,-0.185554,0.088690,0.214522,0.084005,-0.153711,0.200743,0.084033,-0.020886,0.165965,-0.003853,-0.051909,-0.058234,-0.004374,0.033871,-0.071749,-0.056009,-0.030743,-0.024814,0.080442,194.594477,434.725149,77.245964,41.109455,24.039284,51.021150,-0.995813,-0.052358,-0.074938,-0.075861,0.015862,0.996992,0.452880,0.790512,0.412300,B
0.200652,0.102991,-0.036684,0.115639,0.086368,-0.165571,0.166729,0.136933,-0.003799,0.171254,0.024161,-0.054159,-0.058153,0.020551,0.055271,-0.064029,-0.049461,-0.010997,-0.023627,0.085590,130.877251,316.247345,83.297307,70.649007,24.014874,46.763510,-0.997930,-0.060244,-0.022504,0.060541,-0.998084,-0.012736,0.535248,0.699366,0.473704,C
0.165417,0.138551,0.037351,0.181309,0.099459,-0.137180,0.195690,0.091197,-0.030735,0.171220,0.005170,-0.079651,-0.050452,0.014571,0.037449,-0.067056,-0.063282,-0.002518,-0.029729,0.067043,132.478629,294.713793,61.723557,68.983394,21.183274,52.453818,-0.998912,-0.031699,-0.034192,0.031324,-0.999444,0.011450,0.547158,0.672671,0.498129,C
-0.144203,0.122163,0.134808,0.191114,0.165480,-0.162380,0.144109,0.081381,0.000925,0.142703,-0.035586,-0.042583,-0.043424,0.004119,0.056153,-0.060524,-0.058234,-0.020578,-0.039863,0.069974,249.863008,211.999254,28.989134,113.030528,43.888577,45.762226,0.998338,0.053116,0.022367,0.042983,-0.427663,-0.902916,0.766348,0.497566,0.406372,C
-0.369881,-0.091015,0.087767,0.085701,0.111236,-0.152712,0.182559,0.136460,-0.044688,0.181945,0.008112,-0.101617,-0.084753,-0.008578,0.033300,-0.055095,-0.070768,-0.021055,-0.041289,0.070909,245.865509,238.124409,104.304936,120.367263,54.154074,25.433925,-0.998050,-0.062365,-0.002517,0.062393,-0.997967,-0.013030,0.736628,0.552087,0.390613,C
-0.365708,-0.062463,0.012105,0.271351,0.041111,-0.175669,0.143324,0.074295,-0.019714,0.133245,0.000509,-0.074059,-0.049281,0.015808,0.048605,-0.061674,-0.077859,-0.031271,-0.040380,0.063234,249.602195,278.459282,33.042349,114.327492,41.025349,51.454421,0.999046,0.031654,0.030073,-0.035137,0.991737,0.123379,0.731621,0.560553,0.387958,C
-0.356846,-0.056401,0.077109,0.181506,0.106222,-0.214351,0.121804,0.129817,-0.000901,0.136529,-0.027543,-0.083519,-0.065747,0.010425,0.072230,-0.055430,-0.052553,-0.013174,-0.025723,0.067168,262.055992,272.085357,107.472203,118.973345,58.845247,25.810535,-0.997221,-0.074488,0.001159,0.074458,-0.997082,-0.016853,0.701549,0.607814,0.372011,C
-0.079321,0.111679,0.042034,0.155760,0.139878,-0.220720,0.223996,0.124644,-0.002813,0.178010,-0.021334,-0.071806,-0.059292,0.017104,0.042555,-0.071738,-0.061386,-0.030842,-0.019697,0.071803,269.595876,198.874030,85.279363,100.153067,36.739553,32.218666,0.995766,0.088931,-0.023285,0.089577,-0.995577,0.028327,0.785565,0.457563,0.416563,C
-0.105437,0.117087,0.049010,0.191752,0.119849,-0.214925,0.232765,0.091851,-0.000278,0.149280,-0.011348,-0.075926,-0.046530,0.018839,0.041550,-0.056271,-0.066614,-0.027269,-0.025407,0.059302,265.639526,184.553111,85.179582,102.667077,35.846482,34.486748,0.997867,0.063470,-0.015243,0.060325,-0.985899,-0.156093,0.794890,0.436443,0.421507,C
