@attribute Weighted_avg_area_under_ROC numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary string
@attribute measureOutOfBagError numeric

@data

DepthMaps,2,10,weka.classifiers.trees.RandomForest,'-I 100 -K 0 -S 1',-2260823972777004705,20150223.1642,27,3,3,0,0,100,0,0,1,0.217333,0.301397,79.030303,82.340118,5.034216,3.404718,1.629498,1.678072,1.134906,0.543166,1.629498,0.543166,86.413767,1,1,0,0,1,2,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0.011,0,0,0,102315,8581,3853,?,0.407407
DepthMaps,3,1,weka.classifiers.trees.RandomForest,'-I 100 -K 0 -S 1',-2260823972777004705,20150223.1642,27,3,3,0,0,100,0,0,1,0.150667,0.236953,54.787879,64.734368,5.034216,2.137934,2.896282,1.678072,0.712645,0.965427,2.896282,0.965427,153.592505,1,1,0,0,1,2,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0.011,0,0,0,99996,8581,3853,?,0.37037
DepthMaps,3,2,weka.classifiers.trees.RandomForest,'-I 100 -K 0 -S 1',-2260823972777004705,20150223.1642,27,3,3,0,0,100,0,0,1,0.157333,0.228152,57.212121,62.33001,5.034216,2.223428,2.810788,1.678072,0.741143,0.936929,2.810788,0.936929,149.05867,1,1,0,0,1,2,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0.011,0,0.0156,0,100229,8581,3853,?,0.407407
DepthMaps,3,3,weka.classifiers.trees.RandomForest,'-I 100 -K 0 -S 1',-2260823972777004705,20150223.1642,27,3,1,2,0,33.333333,66.666667,0,0,0.265333,0.398313,96.484848,108.817194,5.034216,5.112986,-0.078771,1.678072,1.704329,-0.026257,0.597984,0.199328,31.71164,0,0,0.5,1,0.5,1,1,1,0,0,0,0.5,0.333333,0.333333,0.666667,0.666667,0.333333,0.333333,0.333333,0.5,0.011,0,0.0156,0,93432,8581,3853,?,0.296296
DepthMaps,3,4,weka.classifiers.trees.RandomForest,'-I 100 -K 0 -S 1',-2260823972777004705,20150223.1642,27,3,2,1,0,66.666667,33.333333,0,0.5,0.193333,0.294347,70.30303,80.414089,5.034216,3.073393,1.960822,1.678072,1.024464,0.653607,1.960822,0.653607,103.984215,1,1,0.5,1,0.5,1,0,0,0.5,1,0.666667,0.5,0.666667,0.166667,0.833333,0.333333,0.5,0.666667,0.555556,0.75,0.011,0,0.0156,0,96168,8581,3853,?,0.296296
DepthMaps,3,5,weka.classifiers.trees.RandomForest,'-I 100 -K 0 -S 1',-2260823972777004705,20150223.1642,27,3,2,1,0,66.666667,33.333333,0,0.5,0.164,0.24779,59.636364,67.69508,5.034216,2.47907,2.555146,1.678072,0.826357,0.851715,2.555146,0.851715,135.501728,1,1,0,0,1,2,0,0,1,1,1,1,0.666667,0.166667,0.833333,0.333333,0.5,0.666667,0.555556,1,0.012,0,0.0156,0,99432,8581,3853,?,0.37037
DepthMaps,3,6,weka.classifiers.trees.RandomForest,'-I 100 -K 0 -S 1',-2260823972777004705,20150223.1642,27,3,2,1,0,66.666667,33.333333,0,0.5,0.210667,0.304609,76.606061,83.2177,5.034216,3.289714,1.744501,1.678072,1.096571,0.5815,1.744501,0.5815,92.512508,1,1,0.5,1,0.5,1,0,0,0.5,1,0.666667,1,0.666667,0.166667,0.833333,0.333333,0.5,0.666667,0.555556,1,0.011,0,0,0,100303,8581,3853,?,0.407407
DepthMaps,3,7,weka.classifiers.trees.RandomForest,'-I 100 -K 0 -S 1',-2260823972777004705,20150223.1642,27,3,1,2,0,33.333333,66.666667,0,0,0.22,0.329302,80,89.963776,5.034216,3.757891,1.276324,1.678072,1.25263,0.425441,1.276324,0.425441,67.684649,0,0,0.5,1,0.5,1,1,1,0,0,0,0.5,0.333333,0.333333,0.666667,0.666667,0.333333,0.333333,0.333333,0.666667,0.011,0,0.0156,0,99653,8581,3853,?,0.333333
DepthMaps,3,8,weka.classifiers.trees.RandomForest,'-I 100 -K 0 -S 1',-2260823972777004705,20150223.1642,27,3,2,1,0,66.666667,33.333333,0,0.5,0.202667,0.333387,73.69697,91.079606,5.034216,3.884104,1.150112,1.678072,1.294701,0.383371,1.756682,0.585561,93.158446,1,1,0,0,1,2,0,0,1,1,1,1,0.666667,0.166667,0.833333,0.333333,0.5,0.666667,0.555556,0.833333,0.011,0,0.0156,0,98647,8581,3853,?,0.37037
DepthMaps,3,9,weka.classifiers.trees.RandomForest,'-I 100 -K 0 -S 1',-2260823972777004705,20150223.1642,27,3,3,0,0,100,0,0,1,0.178667,0.251979,64.969697,68.839386,5.034216,2.588261,2.445954,1.678072,0.862754,0.815318,2.445954,0.815318,129.711204,1,1,0,0,1,2,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0.011,0,0.0156,0,100536,8581,3853,?,0.555556
